20230625,1010090,0170,13
20230319,1010140,0170,1
20230402,1010140,0170,2
20230409,1010140,0170,7
20230416,1010140,0170,5
20230507,1010110,0170,1
20230521,1010110,0170,1
20230618,1010110,0170,2
20230625,1010110,0170,3
20230702,1010110,0170,1
20230723,1010110,0170,2
20230416,1010150,0170,2
20230430,1010160,0410,6
20230604,1010160,0410,2
20230702,1010160,0410,2
20230423,1010120,0410,4
20230430,1010120,0410,1
20230521,1010120,0410,1
20230528,1010120,0410,4
20230604,1010120,0410,16
20230611,1010120,0410,16
20230402,1010090,0410,2
20230423,1010090,0410,11
20230507,1010090,0410,2
20230702,1010090,0410,5
20230716,1010090,0410,5
20230723,1010090,0410,3
20230730,1010090,0410,3
20230806,1010090,0410,5
20230813,1010090,0410,3
20230820,1010090,0410,1
20230409,1010140,0410,5
20230416,1010140,0410,9
20230326,1010150,0410,4
20230409,1010150,0410,1
20230416,1010150,0410,8
20230702,1010150,0410,17
20230709,1010150,0410,7
20230716,1010150,0410,5
20230723,1010150,0410,4
20230806,1010150,0410,1
20230618,1010130,0290,1
20230416,1010120,0290,1
20230423,1010120,0290,5
20230430,1010120,0290,8
20230507,1010120,0290,8
20230514,1010120,0290,2
20230521,1010120,0290,10
20230528,1010120,0290,12
20230604,1010120,0290,10
20230611,1010120,0290,29
20230618,1010120,0290,42
20230625,1010120,0290,21
20230423,1010090,0290,1
20230702,1010090,0290,9
20230709,1010090,0290,2
20230716,1010090,0290,5
20230723,1010090,0290,3
20230730,1010090,0290,2
20230416,1010140,0290,3
20230416,1010150,0290,3
20230611,1010160,0545,5
20230625,1010160,0545,6
20230611,1010130,0545,3
20230618,1010130,0545,6
20230604,1010120,0545,15
20230611,1010120,0545,22
20230820,1010120,0545,-1
20230702,1010090,0545,3
20230709,1010090,0545,7
20230716,1010090,0545,6
20230723,1010090,0545,6
20230730,1010090,0545,2
20230312,1010140,0545,4
20230319,1010140,0545,1
20230326,1010140,0545,6
20230402,1010140,0545,7
20230409,1010140,0545,2
20230416,1010140,0545,4
20230604,1010110,0545,1
20230611,1010110,0545,3
20230618,1010110,0545,3
20230625,1010110,0545,1
20230319,1010150,0545,2
20230326,1010150,0545,4
20230402,1010150,0545,3
20230409,1010150,0545,1
20230625,1010150,0545,4
20230312,1010120,0275,1
20230319,1010120,0275,2
20230326,1010120,0275,2
20230402,1010120,0275,1
20230409,1010120,0275,4
20230416,1010120,0275,3
20230423,1010120,0275,5
20230430,1010120,0275,3
20230507,1010120,0275,2
20230514,1010120,0275,1
20230521,1010120,0275,6
20230528,1010120,0275,10
20230604,1010120,0275,21
20230625,1010120,0275,-1
20230409,1010090,0275,1
20230702,1010090,0275,6
20230312,1010140,0275,2
20230326,1010140,0275,1
20230402,1010140,0275,1
20230409,1010140,0275,6
20230416,1010140,0275,3
20230402,1010150,0275,2
20230409,1010150,0275,5
20230416,1010150,0275,1
20230326,1010120,0155,3
20230409,1010120,0155,6
20230416,1010120,0155,1
20230423,1010120,0155,4
20230430,1010120,0155,1
20230507,1010120,0155,14
20230514,1010120,0155,4
20230521,1010120,0155,10
20230528,1010120,0155,22
20230604,1010120,0155,14
20230611,1010120,0155,2
20230423,1010090,0155,4
20230430,1010090,0155,4
20230702,1010090,0155,5
20230709,1010090,0155,2
20230326,1010140,0155,2
20230409,1010140,0155,2
